025-04-02 07:56:23,880 - INFO - Iter:   81 | ∇del: +7.0168e+08 | шаг: 1.1467e-01 | er del: 2.5436e+03 | er: 2.5436e+03 | time:   47.70с
2025-04-02 07:57:11,452 - INFO - Iter:   82 | ∇del: -3.7361e+06 | шаг: 1.0931e+00 | er del: 0.0000e+00 | er: 2.5436e+03 | time:   47.56с
2025-04-02 07:57:58,957 - INFO - Iter:   83 | ∇del: +4.8001e+07 | шаг: 1.0058e+00 | er del: 0.0000e+00 | er: 2.5436e+03 | time:   47.50с
2025-04-02 07:58:46,579 - INFO - Iter:   84 | ∇del: +6.5585e+07 | шаг: 9.3368e-01 | er del: 0.0000e+00 | er: 2.5436e+03 | time:   47.61с
2025-04-02 07:59:34,033 - INFO - Iter:   85 | ∇del: +7.5223e+07 | шаг: 8.7490e-01 | er del: 0.0000e+00 | er: 2.5436e+03 | time:   47.45с
2025-04-02 08:00:21,294 - INFO - Iter:   86 | ∇del: +7.9998e+07 | шаг: 8.2787e-01 | er del: -3.5077e-04 | er: 2.5436e+03 | time:   47.25с
2025-04-02 08:01:08,442 - INFO - Iter:   87 | ∇del: +8.2317e+07 | шаг: 7.9117e-01 | er del: -3.5543e-03 | er: 2.5436e+03 | time:   47.14с
2025-04-02 08:01:55,572 - INFO - Iter:   88 | ∇del: +8.3399e+07 | шаг: 7.6369e-01 | er del: -1.8775e-03 | er: 2.5436e+03 | time:   47.12с
2025-04-02 08:02:42,727 - INFO - Iter:   89 | ∇del: +8.3762e+07 | шаг: 7.4430e-01 | er del: -1.7417e-03 | er: 2.5436e+03 | time:   47.15с
2025-04-02 08:03:29,820 - INFO - Iter:   90 | ∇del: +8.4388e+07 | шаг: 7.3222e-01 | er del: -2.9276e-03 | er: 2.5436e+03 | time:   47.09с
2025-04-02 08:04:16,870 - INFO - Iter:   91 | ∇del: +8.4903e+07 | шаг: 7.2663e-01 | er del: -3.5834e-03 | er: 2.5436e+03 | time:   47.04с
2025-04-02 08:05:04,044 - INFO - Iter:   92 | ∇del: +8.5998e+07 | шаг: 7.2689e-01 | er del: -4.9415e-03 | er: 2.5435e+03 | time:   47.17с
2025-04-02 08:05:51,197 - INFO - Iter:   93 | ∇del: +8.7291e+07 | шаг: 7.3246e-01 | er del: -5.3190e-03 | er: 2.5435e+03 | time:   47.15с
2025-04-02 08:06:38,368 - INFO - Iter:   94 | ∇del: +8.9090e+07 | шаг: 7.4280e-01 | er del: -7.4488e-03 | er: 2.5435e+03 | time:   47.16с
2025-04-02 08:07:25,498 - INFO - Iter:   95 | ∇del: +9.1327e+07 | шаг: 7.5752e-01 | er del: -3.8605e-03 | er: 2.5435e+03 | time:   47.12с
2025-04-02 08:08:12,648 - INFO - Iter:   96 | ∇del: +9.3929e+07 | шаг: 7.7629e-01 | er del: -2.8375e-02 | er: 2.5435e+03 | time:   47.14с
